diam;espesor;diam_mm;madera_kg;kg_canio;peso_paquete;kg_canio_revestido;peso_paquete_revestido;mts_canio_por_caja;cant_canios_caja;altura_caja;Ancho;cant_canios_paquete;cant_paquetes_caja;altura_paquete;suma_largos_paquete;largo_canio;Altura total carga + camion
8.625;8,18;219,08;144;531,78;5849,58;581,78;6399,58;550;44;1101,32;2409,88;11;4;275;137,5;12,5;2851,32
8.625;8,7;219,08;144;564,19;6206,09;614,19;6756,09;550;44;1101,32;2409,88;11;4;275;137,5;12,5;2851,32
10,75;4,4;273,05;288;364,37;3279,33;414,37;3729,33;787,5;63;2361,35;2457,45;9;7;337;112,5;12,5;4111,35
10,75;5,6;273,05;240;461,67;4155,03;511,67;4605,03;675;54;2013,3;2457,45;9;6;336;112,5;12,5;3763,3
10,75;6,35;273,05;192;522,04;4698,36;572,04;5148,36;562,5;45;1665,25;2457,45;9;5;333;112,5;12,5;3415,25
10,75;6,4;273,05;192;526,05;4734,45;576,05;5184,45;562,5;45;1665,25;2457,45;9;5;333;112,5;12,5;3415,25
10,75;7,1;273,05;192;582,05;5238,45;632,05;5688,45;562,5;45;1665,25;2457,45;9;5;333;112,5;12,5;3415,25
10,75;7,8;273,05;144;637,75;5739,75;687,75;6189,75;450;36;1317,2;2457,45;9;4;329;112,5;12,5;3067,2
10,75;8,7;273,05;144;708,93;6380,37;758,93;6830,37;450;36;1317,2;2457,45;9;4;329;112,5;12,5;3067,2
10,75;9,27;273,05;144;753,75;6783,75;803,75;7233,75;450;36;1317,2;2457,45;9;4;329;112,5;12,5;3067,2
10,75;9,5;273,05;144;771,77;6945,93;821,77;7395,93;450;36;1317,2;2457,45;9;4;329;112,5;12,5;3067,2
12,75;4,8;323,85;240;472,07;3304,49;522,07;3654,49;525;42;2318,1;2266,95;7;6;386;87,5;12,5;4028,1
12,75;5,6;323,85;240;549,36;3845,52;599,36;4195,52;525;42;2318,1;2266,95;7;6;386;87,5;12,5;4028,1
12,75;6,35;323,85;240;621,47;4350,29;671,47;4700,29;525;42;2318,1;2266,95;7;6;386;87,5;12,5;4028,1
12,75;6,4;323,85;240;626,27;4383,89;676,27;4733,89;525;42;2318,1;2266,95;7;6;386;87,5;12,5;4028,1
12,75;7,1;323,85;192;693,23;4852,61;743,23;5202,61;437,5;35;1919,25;2266,95;7;5;384;87,5;12,5;3629,25
12,75;7,9;323,85;144;769,39;5385,73;819,39;5735,73;350;28;1520,4;2266,95;7;4;380;87,5;12,5;3230,4
12,75;8,7;323,85;144;845,16;5916,12;895,16;6266,12;350;28;1520,4;2266,95;7;4;380;87,5;12,5;3230,4
12,75;9,5;323,85;144;920,53;6443,71;970,53;6793,71;350;28;1520,4;2266,95;7;4;380;87,5;12,5;3230,4
12,75;9,53;323,85;144;923,35;6463,45;973,35;6813,45;350;28;1520,4;2266,95;7;4;380;87,5;12,5;3230,4
14;5,6;356;192;604,86;4234,02;654,86;4584,02;437,5;35;2080;2492;7;5;416;87,5;12,5;3830
14;6,35;356;192;684,4;4790,8;734,4;5140,8;437,5;35;2080;2492;7;5;416;87,5;12,5;3830
14;6,4;356;192;689,69;4827,83;739,69;5177,83;437,5;35;2080;2492;7;5;416;87,5;12,5;3830
14;7,1;356;192;763,59;5345,13;813,59;5695,13;437,5;35;2080;2492;7;5;416;87,5;12,5;3830
14;7,9;356;144;847,68;5933,76;897,68;6283,76;350;28;1649;2492;7;4;412;87,5;12,5;3399
14;8,7;356;144;931,38;6519,66;981,38;6869,66;350;28;1649;2492;7;4;412;87,5;12,5;3399
14;9,5;356;96;1014,68;7102,76;1064,68;7452,76;262,5;21;1218;2492;7;3;406;87,5;12,5;2968
16;5,6;406;192;691,17;4147,02;741,17;4447,02;375;30;2330;2436;6;5;466;75;12,5;4080
16;6,35;406;192;782,27;4693,62;832,27;4993,62;375;30;2330;2436;6;5;466;75;12,5;4080
16;6,4;406;192;788,33;4729,98;838,33;5029,98;375;30;2330;2436;6;5;466;75;12,5;4080
16;7,1;406;192;873,02;5238,12;923,02;5538,12;375;30;2330;2436;6;5;466;75;12,5;4080
16;7,9;406;144;969,44;5816,64;1019,44;6116,64;300;24;1849;2436;6;4;462;75;12,5;3599
16;8,7;406;144;1065,47;6392,82;1115,47;6692,82;300;24;1849;2436;6;4;462;75;12,5;3599
16;9,5;406;96;1161,1;6966,6;1211,1;7266,6;225;18;1368;2436;6;3;456;75;12,5;3118
16;9,53;406;96;1164,68;6988,08;1214,68;7288,08;225;18;1368;2436;6;3;456;75;12,5;3118
16;10,3;406;96;1256,34;7538,04;1306,34;7838,04;225;18;1368;2436;6;3;456;75;12,5;3118
16;11,1;406;96;1351,18;8107,08;1401,18;8407,08;225;18;1368;2436;6;3;456;75;12,5;3118
16;12,7;406;48;1539,68;9238,08;1589,68;9538,08;150;12;887;2436;6;2;444;75;12,5;2637
18;6,4;457;144;888,94;4444,7;938,94;4694,7;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;6,49;457;144;901,26;4506,3;951,26;4756,3;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;7,1;457;144;984,64;4923,2;1034,64;5173,2;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;7,9;457;144;1093,64;5468,2;1143,64;5718,2;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;8,7;457;144;1202,24;6011,2;1252,24;6261,2;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;9,5;457;144;1310,45;6552,25;1360,45;6802,25;250;20;2053;2285;5;4;513;62,5;12,5;3877
18;10,3;457;96;1418,26;7091,3;1468,26;7341,3;187,5;15;1521;2285;5;3;507;62,5;12,5;3345
18;11,1;457;96;1525,68;7628,4;1575,68;7878,4;187,5;15;1521;2285;5;3;507;62,5;12,5;3345
18;12,7;457;96;1739,33;8696,65;1789,33;8946,65;187,5;15;1521;2285;5;3;507;62,5;12,5;3345
20;6,4;508;144;989,56;4947,8;1039,56;5197,8;250;20;2257;2540;5;4;564;62,5;12,5;4007
20;7,1;508;144;1096,26;5481,3;1146,26;5731,3;250;20;2257;2540;5;4;564;62,5;12,5;4007
20;7,47;508;144;1152,53;5762,65;1202,53;6012,65;250;20;2257;2540;5;4;564;62,5;12,5;4007
20;7,9;508;144;1217,83;6089,15;1267,83;6339,15;250;20;2257;2540;5;4;564;62,5;12,5;4007
20;8,7;508;96;1339,01;6695,05;1389,01;6945,05;187,5;15;1674;2540;5;3;558;62,5;12,5;3424
20;8,94;508;96;1375,29;6876,45;1425,29;7126,45;187,5;15;1674;2540;5;3;558;62,5;12,5;3424
20;9,5;508;96;1459,79;7298,95;1509,79;7548,95;187,5;15;1674;2540;5;3;558;62,5;12,5;3424
20;10,3;508;96;1580,19;7900,95;1630,19;8150,95;187,5;15;1674;2540;5;3;558;62,5;12,5;3424
20;10,74;508;96;1646,23;8231,15;1696,23;8481,15;187,5;15;1674;2540;5;3;558;62,5;12,5;3424
20;12,7;508;48;1938,99;9694,95;1988,99;9944,95;162,5;13;1091;2540;5;2;546;62,5;12,5;2841
20;19,5;508;0;2936,31;14681,55;2986,31;14931,55;62,5;5;508;2540;5;1;508;62,5;12,5;2258
22;6,4;559;96;1090,17;4360,68;1140,17;4560,68;150;12;1827;2236;4;3;609;50;12,5;3577
22;7,1;559;96;1207,87;4831,48;1257,87;5031,48;150;12;1827;2236;4;3;609;50;12,5;3577
22;7,9;559;96;1342,02;5368,08;1392,02;5568,08;150;12;1827;2236;4;3;609;50;12,5;3577
22;8,7;559;96;1475,78;5903,12;1525,78;6103,12;150;12;1827;2236;4;3;609;50;12,5;3577
22;9,5;559;96;1609,14;6436,56;1659,14;6636,56;150;12;1827;2236;4;3;609;50;12,5;3577
24;6,4;610;96;1190,78;4763,12;1240,78;4963,12;150;12;1980;2440;4;3;660;50;12,5;3730
24;7,1;610;96;1319,49;5277,96;1369,49;5477,96;150;12;1980;2440;4;3;660;50;12,5;3730
24;7,9;610;96;1466,22;5864,88;1516,22;6064,88;150;12;1980;2440;4;3;660;50;12,5;3730
24;8,7;610;96;1612,55;6450,2;1662,55;6650,2;150;12;1980;2440;4;3;660;50;12,5;3730
24;9,5;610;96;1758,49;7033,96;1808,49;7233,96;150;12;1980;2440;4;3;660;50;12,5;3730
24;10,3;610;96;1904,03;7616,12;1954,03;7816,12;150;12;1980;2440;4;3;660;50;12,5;3730
24;11,1;610;96;2049,18;8196,72;2099,18;8396,72;150;12;1980;2440;4;3;660;50;12,5;3730
24;11,9;610;96;2193,94;8775,76;2243,94;8975,76;150;12;1980;2440;4;3;660;50;12,5;3045
24;12,7;610;48;2338,3;9353,2;2386,3;9545,2;100;8;1295;2440;4;2;648;50;12,5;3045
24;20,6;610;0;3592,95;14371,8;3642,95;14571,8;50;4;610;2440;4;1;610;50;12,5;2360
30;6,4;762;96;1371,4;4114,2;1421,4;4264,2;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
30;7,9;762;96;1689,46;5068,38;1739,46;5218,38;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
30;8,7;762;96;1858,57;5575,71;1908,57;5725,71;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
30;9,5;762;96;2027,31;6081,93;2077,31;6231,93;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
30;10,3;762;96;2195,7;6587,1;2245,7;6737,1;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
30;12,7;762;96;2698,67;8096,01;2748,67;8246,01;103,5;9;2436;2286;3;3;812;34,5;11,5;4186
32;7,1;813;48;1763,77;5291,31;1813,77;5441,31;75;6;1701;2439;3;2;851;37,5;12,5;3411
32;8,7;813;48;2156,95;6470,85;2206,95;6620,85;75;6;1701;2439;3;2;851;37,5;12,5;3411
32;10,3;813;48;2548,55;7645,65;2598,55;7795,65;75;6;1701;2439;3;2;851;37,5;12,5;3411
32;12,7;813;48;3132,99;9398,97;3182,99;9548,97;75;6;1701;2439;3;2;851;37,5;12,5;3411
34;7,9;864;48;2084,75;6254,25;2134,75;6404,25;75;6;1803;2592;3;2;902;37,5;12,5;3513
34;8,7;864;48;2293,72;6881,16;2343,72;7031,16;75;6;1803;2592;3;2;902;37,5;12,5;3513
34;9,5;864;48;2502,3;7506,9;2552,3;7656,9;75;6;1803;2592;3;2;902;37,5;12,5;3513
34;10,3;864;48;2710,48;8131,44;2760,48;8281,44;75;6;1803;2592;3;2;902;37,5;12,5;3513
34;12,7;864;48;3332,65;9997,95;3382,65;10147,95;75;6;1803;2592;3;2;902;37,5;12,5;3513
36;6,4;914;48;1647,27;3294,54;1697,27;3394,54;46;4;1903;1828;2;2;952;23;11,5;3613
36;7,9;914;48;2029,99;4059,98;2079,99;4159,98;46;4;1903;1828;2;2;952;23;11,5;3613
36;8,7;914;48;2233,59;4467,18;2283,59;4567,18;46;4;1903;1828;2;2;952;23;11,5;3613
36;9,5;914;48;2436,82;4873,64;2486,82;4973,64;46;4;1903;1828;2;2;952;23;11,5;3613
36;10,3;914;48;2639,69;5279,38;2689,69;5379,38;46;4;1903;1828;2;2;952;23;11,5;3613
36;12,7;914;48;3246,12;6492,24;3296,12;6592,24;46;4;1903;1828;2;2;952;23;11,5;3613
40;8,7;1016;48;2485,24;4970,48;;;46;4;2107;2032;2;2;1054;23;11,5;3817
40;9,5;1016;48;2711,62;5423,24;;;46;4;2107;2032;2;2;1054;23;11,5;3817
40;10,3;1016;48;2937,63;5875,26;;;46;4;2107;2032;2;2;1054;23;11,5;3817
40;12,7;1016;48;3613,48;7226,96;;;46;4;2107;2032;2;2;1054;23;11,5;3817
42;8,7;1067;48;2611,07;5222,14;;;46;4;2209;2134;2;2;1105;23;11,5;3919
42;9,5;1067;48;2849,02;5698,04;;;46;4;2209;2134;2;2;1105;23;11,5;3919
42;10,3;1067;48;3086,6;6173,2;;;46;4;2209;2134;2;2;1105;23;11,5;3919
42;12,7;1067;48;3797,16;7594,32;;;46;4;2209;2134;2;2;1105;23;11,5;3919
44;8,7;1118;48;2736,9;5473,8;;;46;4;2311;2236;2;2;1156;23;11,5;4021
44;9,5;1118;48;2986,42;5972,84;;;46;4;2311;2236;2;2;1156;23;11,5;4021
44;10,3;1118;48;3235,57;6471,14;;;46;4;2311;2236;2;2;1156;23;11,5;4021
44;12,7;1118;48;3980,84;7961,68;;;46;4;2311;2236;2;2;1156;23;11,5;4021
46;8,7;1168;0;2860,26;5720,52;;;23;2;1168;2336;2;1;1168;23;11,5;2878
46;9,5;1168;0;3121,12;6242,24;;;23;2;1168;2336;2;1;1168;23;11,5;2878
46;10,3;1168;0;3381,62;6763,24;;;23;2;1168;2336;2;1;1168;23;11,5;2878
46;12,7;1168;0;4160,92;8321,84;;;23;2;1168;2336;2;1;1168;23;11,5;2878
48;8,7;1219;0;2986,09;5972,18;;;23;2;1219;2438;2;1;1219;23;11,5;2929
48;9,5;1219;0;3258,52;6517,04;;;23;2;1219;2438;2;1;1219;23;11,5;2929
48;10,3;1219;0;3530,58;7061,16;;;23;2;1219;2438;2;1;1219;23;11,5;2929
48;12,7;1219;0;4344,6;8689,2;;;23;2;1219;2438;2;1;1219;23;11,5;2929
50;8,7;1270;0;3111,92;6223,84;;;23;2;1270;2540;2;1;1270;23;11,5;2980
50;9,5;1270;0;3395,92;6791,84;;;23;2;1270;2540;2;1;1270;23;11,5;2980
50;10,3;1270;0;3679,55;7359,1;;;23;2;1270;2540;2;1;1270;23;11,5;2980
50;12,7;1270;0;4528,28;9056,56;;;23;2;1270;2540;2;1;1270;23;11,5;2980
